date,NVDA,AVGO,MSFT,META,JPM,XLF,XOM,SPY
2025-05-05,113.5336761,198.792099,431.1091919,596.8530884,246.6308746,48.51820755,98.52850342,555.6917725
2025-05-06,113.2543869,198.1681671,428.2823486,584.9412842,243.3985596,48.24342346,99.90239716,551.0471191
2025-05-07,116.7655258,202.842804,428.3218994,594.4030151,243.5352783,48.52801895,99.80698395,553.364563
2025-05-08,117.0747452,205.7743988,433.0859985,595.5981445,247.5194855,48.93037415,101.1999512,557.2202759
2025-05-09,116.3565598,206.2002563,433.6394653,590.1004028,247.1386566,48.93037415,102.3830109,556.5103149
2025-05-12,122.6905899,219.4517517,444.0472717,636.8510742,253.9450226,49.92153931,104.1480865,574.9015503
2025-05-13,129.6031342,230.1876221,443.9286804,653.3841553,256.8355713,50.12762833,104.4343033,578.6981201
2025-05-14,134.999527,229.8905029,447.6845398,656.7006836,259.4038086,49.99023438,103.4992981,579.4377441
2025-05-15,134.4908142,230.4055176,448.6946106,641.2831421,261.2103577,50.3238945,104.5488434,582.2678223
2025-05-16,135.0593872,226.4142303,449.8234253,637.7574463,261.278717,50.62812042,104.173317,585.9559937
2025-05-19,135.2289581,228.4148254,454.378418,637.8471069,258.6616516,50.65755463,102.5171738,586.5969238
2025-05-20,134.0419312,229.4547424,453.6852722,634.5304565,259.4428101,50.38277817,101.0536041,584.6246948
2025-05-21,131.4684448,227.5234375,448.1401062,632.9368896,254.9118042,49.35235596,99.81149292,574.7732544
2025-05-22,132.4958649,228.3157959,450.4076538,634.0025635,254.5504761,49.29347229,99.14710999,575.0001221
2025-05-23,130.9597168,226.5231628,445.7734375,624.5309448,254.5895081,49.11682892,99.20488739,571.0753784
2025-05-27,135.1591187,233.3865967,456.180603,639.7294922,259.0620117,49.98042297,99.67668915,582.9483643
2025-05-28,134.470871,237.1302795,452.8831482,640.984375,257.3042603,49.64676285,98.31903839,579.5757446
2025-05-29,138.839859,239.6459198,454.1902771,642.4484863,258.1636047,49.90191269,98.87751007,581.8635254
2025-05-30,134.7900848,239.7449493,455.8537903,644.8786011,257.8022766,50.00986481,98.50199127,581.2128296
2025-06-02,137.0344086,246.3211823,457.4480591,668.1942139,258.4468079,50.02948761,99.22414398,584.4866943
2025-06-03,140.8647308,254.3829651,458.4382935,664.1605225,260.0189819,50.12762833,99.94630432,587.8197632
2025-06-04,141.5629883,258.5722961,459.3294678,685.175354,258.0171204,49.84302902,98.50199127,587.6619263
2025-06-05,139.6378784,257.4334106,463.1022034,681.8588867,255.8004303,49.7056427,98.04944611,584.8218994
2025-06-06,141.3634796,244.5582428,465.7757874,694.8959961,259.4916687,50.3238945,100.3988419,590.8274536
2025-06-09,142.2711945,241.9337158,468.1225586,691.2608032,260.4779358,50.04911804,101.0728607,591.3599243
2025-06-10,143.5978546,242.2803497,466.3104553,699.5671387,262.2943115,50.10799789,103.2393265,594.7128296
2025-06-11,142.4805756,250.480835,467.9938354,691.3404541,261.8548584,50.04911804,105.2517242,593.0166626
2025-06-12,144.6452789,253.6105042,474.1826477,690.5635376,261.9427185,50.04911804,105.6561356,595.3735352
2025-06-13,141.6226807,246.3112488,470.3109436,680.1158447,258.7300415,49.02850723,107.9574051,588.7171631
2025-06-16,144.3360443,249.6786194,474.4499817,699.8262939,264.0129395,49.58787537,108.3040466,594.3182983
2025-06-17,143.7674103,246.974823,473.3607788,694.9522705,263.1927185,49.30328751,109.7676163,589.2398071
2025-06-18,145.1240997,248.8466797,475.5392151,693.4970703,267.5284729,49.28366089,108.9876862,589.151001
2025-06-20,143.4980927,248.1716309,472.7270203,680.1208496,268.5440369,49.42105103,110.4416199,587.7674561
2025-06-23,143.8173065,251.9241486,481.2428589,696.2480469,271.7372742,50.04339218,107.5915146,593.5730591
2025-06-24,147.5381775,261.8513794,485.3125916,709.8733521,274.6571045,50.79177856,104.3177414,600.1303711
2025-06-25,153.9325104,262.7250061,487.4514771,706.3648682,277.3913574,50.62437439,104.3466263,600.4666748
2025-06-26,154.6407776,268.2048645,492.5808105,723.7180176,281.9712524,50.99856949,105.9064865,605.1646118
2025-06-27,157.36409,267.3908081,491.0855408,731.2333374,280.369751,51.14627457,105.3191223,608.1712646
2025-06-30,157.6035156,273.6449585,492.5411377,735.678894,283.1040039,51.56970215,103.7977982,611.0790405
2025-07-01,152.9249878,262.8143616,487.2336426,716.8704224,283.5922852,51.8552742,105.1843262,610.8812866
2025-07-02,156.8653259,267.9368286,486.28302,711.2389526,285.1449585,51.81588364,106.9271317,613.6506348
2025-07-03,158.9501953,273.1783447,493.9571838,716.6611938,290.443573,52.37717438,108.0344391,618.4870605
2025-07-07,157.85289,272.1856689,492.848114,716.0032349,286.4892578,51.87496567,106.9849014,613.8779907
2025-07-08,159.6085815,269.8229675,491.7588806,718.3157349,277.4717407,51.41214752,109.9505539,613.5418091
2025-07-09,162.4815369,275.8786316,498.5814819,730.3861694,277.8446045,51.59924698,109.5750351,617.2210083
2025-07-10,163.6985779,273.3967896,496.5713501,724.8642578,282.7802429,51.9045105,110.6630783,618.9616699
2025-07-11,164.5165558,272.3842163,498.3933411,715.1660767,281.4751587,51.36291122,111.1445236,616.7858887
2025-07-14,163.6686401,273.5953674,498.096283,718.5648193,283.2806396,51.74695587,109.6905746,617.9627686
2025-07-15,170.2824249,278.8964844,500.868866,708.0693359,281.17099,50.86070633,108.7180786,615.3220825
2025-07-16,170.9507751,278.7674255,500.6708069,700.6136475,280.4546509,51.21520615,108.063324,617.3792114
2025-07-17,172.5767822,284.3664246,506.6913147,699.1185913,284.4581299,51.70756531,107.5144882,621.1574097
2025-07-18,171.988205,281.2790527,505.0574341,701.979248,285.8023682,51.73710632,103.768898,620.7024536
2025-07-21,170.9607544,286.1136169,505.0673218,710.6408691,285.5080261,51.58939743,104.0385208,621.8793945
2025-07-22,166.6213837,276.5636292,500.3242188,702.5075073,285.9593811,51.87496567,104.5103226,621.9683838
