date,BTC,ETH,NVDA,AVGO,MSFT,META,JPM,XLF,XOM
2026-06-03,64118,1812.3,214.2602539,478.4727478,426.5370483,622.4031372,299.5007935,50.69242477,151.5487061
2026-06-04,63855,1770.3,218.4156036,418.2480469,427.245697,626.9888916,309.4957581,52.00781631,151.0618439
2026-06-05,61033,1582.4,204.8707581,385.1204834,415.887085,592.4509277,310.9691162,52.11743164,148.9554901
2026-06-08,63058,1688.8,208.4067993,395.9732971,410.9663391,584.8479614,309.7147522,51.78858566,150.7737122
2026-06-09,61695,1638.5,207.9573059,391.5403137,402.6520081,584.0487061,311.2976379,52.27687454,147.9519958
2026-06-10,61481,1620.9,200.1959839,371.5120239,396.6133423,570.4512939,307.7536011,52.04767609,149.6509857
2026-06-11,63621,1672.7,204.6410065,384.9607239,389.6065674,567.9036255,312.0840759,52.43631744,145.6568604
2026-06-12,63561,1665.7,204.9606628,381.4662781,390.0057983,566.4549561,319.2816772,53.15380478,146.064209
2026-06-15,66294,1795.5,212.2125397,393.3175049,399.0088806,593.4799805,317.9675903,53.37303543,140.0133972
2026-06-16,65639,1792.8,207.1781769,376.1147156,393.0899963,600.210022,329.6549377,54.16027832,140.9473419
2026-06-17,64470,1749.7,204.4212494,392.2791443,378.1980286,567.5800171,331.9645081,53.86132431,139.834549
2026-06-18,62935,1711.1,210.4545135,410.7000122,378.6871033,577.2199707,323.7614746,53.38299942,136.9234009
2026-06-22,64012,1727.9,208.4167786,392.1300049,366.6497803,563.8499756,329.9934082,53.70000076,137.5791626
2026-06-23,62706,1666.4,199.8164062,380.1499939,373.2373657,562.2000122,332.6414795,53.88000107,138.8310394
2026-06-24,61047,1621.2,198.7775726,382.0700073,364.7733154,557.6699829,331.9545898,53.72000122,136.0192566
2026-06-25,59759,1566.6,195.521225,378.9100037,352.1670227,542.8699951,333.6170654,53.45000076,136.6650696
2026-06-26,60074,1577.6,192.3148041,365.019989,372.2691956,550.25,327.5742798,53.56999969,135.6615601
2026-06-29,60227,1612.4,194.7520752,372.4500122,367.8774719,562.5999756,327.9127808,53.72000122,135.1846619
2026-06-30,58603,1571.4,199.8663483,377.75,372.3190918,563.289978,325.8619995,53.61000061,135.8404083
2026-07-01,60010,1608.6,197.3591614,369.3399963,383.5579529,612.9099731,332.5718079,54.77999878,135.403244
2026-07-02,61587,1701.3,194.6122437,360.4500122,389.7562561,582.9000244,332.9700012,55.61999893,136.2080231
2026-07-06,64054,1800.4,195.3314362,373.8999939,386.0133057,600.289978,337.7200012,56.13999939,135.5622101
2026-07-07,63355,1772,196.7098846,370.7799988,388.109375,615.5800171,339.2200012,56.04999924,140.7784424
2026-07-08,62283,1743.6,203.8918457,388.6900024,382.6197205,603.1199951,330.6199951,54.97000122,140.2220459
2026-07-09,63225,1745,202.5533447,401.1099854,383.6377869,631.4799805,335.4700012,55.54000092,136.5756531
2026-07-10,64155,1796.5,210.7242126,399.9700012,384.3764038,669.210022,336.4700012,55.70999908,137.9865265
2026-07-13,62331,1776.8,203.3025055,384.0499878,390.2553406,656.7299805,334.5299988,56.06999969,143.5802917
2026-07-14,65000,1891.7,211.5632782,389.1099854,384.2067261,661.039978,342.8900146,56.18000031,144.1565552
2026-07-15,64738,1918.3,212.2624817,394.2799988,394.8866272,681.3099976,346.9100037,56.56000137,143.5802917
2026-07-16,63815,1865.1,207.1681824,374.4500122,400.346344,664.539978,343.1499939,56.75,145.0110321
2026-07-17,63928,1841.6,202.583313,370.8299866,393.0800171,646.0100098,341.1000061,56.25999832,146.4119568
2026-07-20,65226,1904,203.0527954,378.1600037,401.5341187,645.8499756,338.8699951,56.04000092,147.4055328
2026-07-21,66527,1929.5,207.0583038,386.5,397.0026245,643.8099976,345.230011,56.11000061,150.7339783
2026-07-22,66086,1933.4,211.8229828,396.8099976,389.6065674,627.1699829,348.2099915,56.04999924,153.4563446
2026-07-23,65069,1877.7,208.5266571,392.4700012,380.8630066,606.0999756,349.8999939,55.83000183,155.8806458
2026-07-24,64123,1861,206.6088104,381.9200134,380.9828186,595.1900024,353.2099915,56.31000137,155.9303284
2026-07-27,63736,1891.6,196.2903595,383.2200012,388.3688965,593.8699951,356.2000122,56.88000107,153.774292
2026-07-28,63906,1921.4,196.7897949,380.9100037,392.6109009,593.4099731,357.3099976,57.59999847,152.0554199
2026-07-29,63962,1910,189.7976227,370.3200073,389.8061829,585.6099854,344.7099915,56.68000031,155.7415466
2026-07-30,64754,1917.6,194.821991,387.8399963,450.2524109,539.0300293,350.8500061,57,155.960144
2026-07-31,62856,1861.6,200.5256195,389.2799988,463.8468018,556.710022,351.7900085,56.93999863,154.4399872
2026-08-03,63492,1859.4,206.4090424,392.230011,486.7337036,590.2399902,352.6400146,57.38000107,154.0624237
2026-08-04,64068,1869.4,211.7031097,418.1600037,491.8840332,587.9400024,357.519989,57.88000107,152.9695129
2026-08-05,64625,1908.1,218.9749756,418.2799988,486.5440674,588.7700195,359.2399902,58,150.6544952
